region,industry,metric_window,baseline_date,latest_date,baseline_jobs,latest_jobs,net_change,pct_change
"Napa, CA",Education and Health Services,past_12_months,2024-07-01,2025-07-01,11000.0,11600.0,600.0,5.454545454545454
"Napa, CA",Education and Health Services,since_feb_2020,2020-02-01,2025-07-01,10600.0,11600.0,1000.0,9.433962264150944
"Napa, CA",Financial Activities,past_12_months,2024-07-01,2025-07-01,2100.0,2100.0,0.0,0.0
"Napa, CA",Financial Activities,since_feb_2020,2020-02-01,2025-07-01,2300.0,2100.0,-200.0,-8.695652173913043
"Napa, CA",Government,past_12_months,2024-07-01,2025-07-01,9300.0,9600.0,300.0,3.225806451612903
"Napa, CA",Government,since_feb_2020,2020-02-01,2025-07-01,10400.0,9600.0,-800.0,-7.6923076923076925
"Napa, CA",Information,past_12_months,2024-07-01,2025-07-01,300.0,300.0,0.0,0.0
"Napa, CA",Information,since_feb_2020,2020-02-01,2025-07-01,300.0,300.0,0.0,0.0
"Napa, CA",Leisure and Hospitality,past_12_months,2024-07-01,2025-07-01,13900.0,14200.0,300.0,2.158273381294964
"Napa, CA",Leisure and Hospitality,since_feb_2020,2020-02-01,2025-07-01,13100.0,14200.0,1100.0,8.396946564885496
"Napa, CA",Manufacturing,past_12_months,2024-07-01,2025-07-01,15500.0,16700.0,1200.0,7.741935483870968
"Napa, CA",Manufacturing,since_feb_2020,2020-02-01,2025-07-01,13300.0,16700.0,3400.0,25.563909774436087
"Napa, CA",Professional and Business Services,past_12_months,2024-07-01,2025-07-01,7200.0,7200.0,0.0,0.0
"Napa, CA",Professional and Business Services,since_feb_2020,2020-02-01,2025-07-01,7100.0,7200.0,100.0,1.4084507042253522
"Napa, CA",Retail Trade,past_12_months,2024-07-01,2025-07-01,6300.0,6200.0,-100.0,-1.5873015873015872
"Napa, CA",Retail Trade,since_feb_2020,2020-02-01,2025-07-01,6400.0,6200.0,-200.0,-3.125
"Napa, CA","Wholesale, Transportation, and Utilities",past_12_months,2024-07-01,2025-07-01,3600.0,3600.0,0.0,0.0
"Napa, CA","Wholesale, Transportation, and Utilities",since_feb_2020,2020-02-01,2025-07-01,3800.0,3600.0,-200.0,-5.263157894736842
"Oakland-Fremont-Berkeley, CA",Construction,past_12_months,2024-07-01,2025-07-01,75900.0,72400.0,-3500.0,-4.61133069828722
"Oakland-Fremont-Berkeley, CA",Construction,since_feb_2020,2020-02-01,2025-07-01,75700.0,72400.0,-3300.0,-4.359313077939234
"Oakland-Fremont-Berkeley, CA",Education and Health Services,past_12_months,2024-07-01,2025-07-01,228400.0,240700.0,12300.0,5.385288966725044
"Oakland-Fremont-Berkeley, CA",Education and Health Services,since_feb_2020,2020-02-01,2025-07-01,202600.0,240700.0,38100.0,18.80552813425469
"Oakland-Fremont-Berkeley, CA",Financial Activities,past_12_months,2024-07-01,2025-07-01,49900.0,48700.0,-1200.0,-2.404809619238477
"Oakland-Fremont-Berkeley, CA",Financial Activities,since_feb_2020,2020-02-01,2025-07-01,55100.0,48700.0,-6400.0,-11.61524500907441
"Oakland-Fremont-Berkeley, CA",Government,past_12_months,2024-07-01,2025-07-01,159600.0,162000.0,2400.0,1.5037593984962405
"Oakland-Fremont-Berkeley, CA",Government,since_feb_2020,2020-02-01,2025-07-01,176300.0,162000.0,-14300.0,-8.111174134997164
"Oakland-Fremont-Berkeley, CA",Information,past_12_months,2024-07-01,2025-07-01,22600.0,20600.0,-2000.0,-8.849557522123893
"Oakland-Fremont-Berkeley, CA",Information,since_feb_2020,2020-02-01,2025-07-01,27500.0,20600.0,-6900.0,-25.09090909090909
