metro,timeframe,baseline_date,latest_date,baseline_value,latest_value,net_change,pct_change
"Atlanta-Sandy Springs-Roswell, GA",12 Months,2024-08-01,2025-07-01,886200.0,891400.0,5200.0,0.5867749943579328
"Austin-Round Rock-San Marcos, TX",12 Months,2024-08-01,2025-07-01,416000.0,415200.0,-800.0,-0.19230769230769232
"Boston-Cambridge-Newton, MA-NH",12 Months,2024-08-01,2025-07-01,782900.0,785000.0,2100.0,0.26823349086728826
"Chicago-Naperville-Elgin, IL-IN-WI",12 Months,2024-08-01,2025-07-01,1217200.0,1211300.0,-5900.0,-0.4847190272757148
"Dallas-Fort Worth-Arlington, TX",12 Months,2024-08-01,2025-07-01,1254400.0,1244200.0,-10200.0,-0.8131377551020409
"Denver-Aurora-Centennial, CO",12 Months,2024-08-01,2025-07-01,488800.0,488600.0,-200.0,-0.04091653027823241
"Houston-Pasadena-The Woodlands, TX",12 Months,2024-08-01,2025-07-01,777800.0,768100.0,-9700.0,-1.2471072255078426
"Los Angeles-Long Beach-Anaheim, CA",12 Months,2024-08-01,2025-07-01,1495100.0,1472000.0,-23100.0,-1.5450471540365192
"Miami-Fort Lauderdale-West Palm Beach, FL",12 Months,2024-08-01,2025-07-01,796300.0,799000.0,2700.0,0.33906819038050984
"New York-Newark-Jersey City, NY-NJ",12 Months,2024-08-01,2025-07-01,2768800.0,2789500.0,20700.0,0.7476162958682462
"Phoenix-Mesa-Chandler, AZ",12 Months,2024-08-01,2025-07-01,628300.0,627500.0,-800.0,-0.12732770969282192
"San Diego-Chula Vista-Carlsbad, CA",12 Months,2024-08-01,2025-07-01,360000.0,351700.0,-8300.0,-2.3055555555555554
"San Francisco-Oakland-Fremont, CA",12 Months,2024-08-01,2025-07-01,761500.0,745100.0,-16400.0,-2.153644123440578
"San Jose-Sunnyvale-Santa Clara, CA",12 Months,2024-08-01,2025-07-01,418400.0,411300.0,-7100.0,-1.6969407265774377
"Seattle-Tacoma-Bellevue, WA",12 Months,2024-08-01,2025-07-01,628500.0,630500.0,2000.0,0.31821797931583135
"Washington-Arlington-Alexandria, DC-VA-MD-WV",12 Months,2024-08-01,2025-07-01,1056500.0,1042800.0,-13700.0,-1.2967345007098912
"Atlanta-Sandy Springs-Roswell, GA",18 Months,2024-02-01,2025-07-01,883800.0,891400.0,7600.0,0.8599230595157276
"Austin-Round Rock-San Marcos, TX",18 Months,2024-02-01,2025-07-01,412800.0,415200.0,2400.0,0.5813953488372093
"Boston-Cambridge-Newton, MA-NH",18 Months,2024-02-01,2025-07-01,771700.0,785000.0,13300.0,1.723467668783206
"Chicago-Naperville-Elgin, IL-IN-WI",18 Months,2024-02-01,2025-07-01,1188300.0,1211300.0,23000.0,1.9355381637633593
"Dallas-Fort Worth-Arlington, TX",18 Months,2024-02-01,2025-07-01,1237300.0,1244200.0,6900.0,0.5576658853956195
"Denver-Aurora-Centennial, CO",18 Months,2024-02-01,2025-07-01,479500.0,488600.0,9100.0,1.897810218978102
"Houston-Pasadena-The Woodlands, TX",18 Months,2024-02-01,2025-07-01,768700.0,768100.0,-600.0,-0.07805385716144139
"Los Angeles-Long Beach-Anaheim, CA",18 Months,2024-02-01,2025-07-01,1508900.0,1472000.0,-36900.0,-2.4454900921200875
"Miami-Fort Lauderdale-West Palm Beach, FL",18 Months,2024-02-01,2025-07-01,797600.0,799000.0,1400.0,0.17552657973921765
"New York-Newark-Jersey City, NY-NJ",18 Months,2024-02-01,2025-07-01,2712600.0,2789500.0,76900.0,2.8349185283491853
"Phoenix-Mesa-Chandler, AZ",18 Months,2024-02-01,2025-07-01,648400.0,627500.0,-20900.0,-3.2233189389265884
"San Diego-Chula Vista-Carlsbad, CA",18 Months,2024-02-01,2025-07-01,362700.0,351700.0,-11000.0,-3.032809484422388
"San Francisco-Oakland-Fremont, CA",18 Months,2024-02-01,2025-07-01,762900.0,745100.0,-17800.0,-2.3332022545549878
"San Jose-Sunnyvale-Santa Clara, CA",18 Months,2024-02-01,2025-07-01,418400.0,411300.0,-7100.0,-1.6969407265774377
"Seattle-Tacoma-Bellevue, WA",18 Months,2024-02-01,2025-07-01,617600.0,630500.0,12900.0,2.088730569948187
"Washington-Arlington-Alexandria, DC-VA-MD-WV",18 Months,2024-02-01,2025-07-01,1041400.0,1042800.0,1400.0,0.13443441521029384
"Atlanta-Sandy Springs-Roswell, GA",24 Months,2023-08-01,2025-07-01,889700.0,891400.0,1700.0,0.19107564347532877
"Austin-Round Rock-San Marcos, TX",24 Months,2023-08-01,2025-07-01,415800.0,415200.0,-600.0,-0.1443001443001443
"Boston-Cambridge-Newton, MA-NH",24 Months,2023-08-01,2025-07-01,798900.0,785000.0,-13900.0,-1.739892351983978
"Chicago-Naperville-Elgin, IL-IN-WI",24 Months,2023-08-01,2025-07-01,1250100.0,1211300.0,-38800.0,-3.103751699864011
"Dallas-Fort Worth-Arlington, TX",24 Months,2023-08-01,2025-07-01,1243500.0,1244200.0,700.0,0.05629272215520708
"Denver-Aurora-Centennial, CO",24 Months,2023-08-01,2025-07-01,494100.0,488600.0,-5500.0,-1.1131349929164136
"Houston-Pasadena-The Woodlands, TX",24 Months,2023-08-01,2025-07-01,780900.0,768100.0,-12800.0,-1.639134332180817
"Los Angeles-Long Beach-Anaheim, CA",24 Months,2023-08-01,2025-07-01,1485000.0,1472000.0,-13000.0,-0.8754208754208754
"Miami-Fort Lauderdale-West Palm Beach, FL",24 Months,2023-08-01,2025-07-01,787900.0,799000.0,11100.0,1.4088082243939586
"New York-Newark-Jersey City, NY-NJ",24 Months,2023-08-01,2025-07-01,2766100.0,2789500.0,23400.0,0.8459564007085788
"Phoenix-Mesa-Chandler, AZ",24 Months,2023-08-01,2025-07-01,644200.0,627500.0,-16700.0,-2.5923626203042534
"San Diego-Chula Vista-Carlsbad, CA",24 Months,2023-08-01,2025-07-01,368000.0,351700.0,-16300.0,-4.429347826086957
"San Francisco-Oakland-Fremont, CA",24 Months,2023-08-01,2025-07-01,786500.0,745100.0,-41400.0,-5.2638270820089
"San Jose-Sunnyvale-Santa Clara, CA",24 Months,2023-08-01,2025-07-01,425000.0,411300.0,-13700.0,-3.2235294117647055
"Seattle-Tacoma-Bellevue, WA",24 Months,2023-08-01,2025-07-01,630000.0,630500.0,500.0,0.07936507936507936
"Washington-Arlington-Alexandria, DC-VA-MD-WV",24 Months,2023-08-01,2025-07-01,1056400.0,1042800.0,-13600.0,-1.2873911397198032
"Atlanta-Sandy Springs-Roswell, GA",36 Months,2022-08-01,2025-07-01,905700.0,891400.0,-14300.0,-1.5788892569283428
"Austin-Round Rock-San Marcos, TX",36 Months,2022-08-01,2025-07-01,416500.0,415200.0,-1300.0,-0.31212484993997597
"Boston-Cambridge-Newton, MA-NH",36 Months,2022-08-01,2025-07-01,811100.0,785000.0,-26100.0,-3.2178522993465664
"Chicago-Naperville-Elgin, IL-IN-WI",36 Months,2022-08-01,2025-07-01,1276500.0,1211300.0,-65200.0,-5.107716412064238
"Dallas-Fort Worth-Arlington, TX",36 Months,2022-08-01,2025-07-01,1236200.0,1244200.0,8000.0,0.6471444750040446
"Denver-Aurora-Centennial, CO",36 Months,2022-08-01,2025-07-01,492900.0,488600.0,-4300.0,-0.8723879082978291
"Houston-Pasadena-The Woodlands, TX",36 Months,2022-08-01,2025-07-01,764700.0,768100.0,3400.0,0.4446188047600367
"Los Angeles-Long Beach-Anaheim, CA",36 Months,2022-08-01,2025-07-01,1591900.0,1472000.0,-119900.0,-7.531880143225076
"Miami-Fort Lauderdale-West Palm Beach, FL",36 Months,2022-08-01,2025-07-01,780700.0,799000.0,18300.0,2.3440502113487893
"New York-Newark-Jersey City, NY-NJ",36 Months,2022-08-01,2025-07-01,2793800.0,2789500.0,-4300.0,-0.1539122342329444
"Phoenix-Mesa-Chandler, AZ",36 Months,2022-08-01,2025-07-01,648300.0,627500.0,-20800.0,-3.2083911769242635
"San Diego-Chula Vista-Carlsbad, CA",36 Months,2022-08-01,2025-07-01,382900.0,351700.0,-31200.0,-8.148341603551842
"San Francisco-Oakland-Fremont, CA",36 Months,2022-08-01,2025-07-01,831600.0,745100.0,-86500.0,-10.401635401635403
"San Jose-Sunnyvale-Santa Clara, CA",36 Months,2022-08-01,2025-07-01,444600.0,411300.0,-33300.0,-7.489878542510121
"Seattle-Tacoma-Bellevue, WA",36 Months,2022-08-01,2025-07-01,653000.0,630500.0,-22500.0,-3.4456355283307807
"Washington-Arlington-Alexandria, DC-VA-MD-WV",36 Months,2022-08-01,2025-07-01,1054100.0,1042800.0,-11300.0,-1.0720045536476617
"Atlanta-Sandy Springs-Roswell, GA",6 Months,2025-02-01,2025-07-01,879800.0,891400.0,11600.0,1.3184814730620595
"Austin-Round Rock-San Marcos, TX",6 Months,2025-02-01,2025-07-01,417700.0,415200.0,-2500.0,-0.5985156811108452
"Boston-Cambridge-Newton, MA-NH",6 Months,2025-02-01,2025-07-01,765100.0,785000.0,19900.0,2.6009671938308716
"Chicago-Naperville-Elgin, IL-IN-WI",6 Months,2025-02-01,2025-07-01,1178500.0,1211300.0,32800.0,2.78319898175647
"Dallas-Fort Worth-Arlington, TX",6 Months,2025-02-01,2025-07-01,1241800.0,1244200.0,2400.0,0.19326783701079078
"Denver-Aurora-Centennial, CO",6 Months,2025-02-01,2025-07-01,478700.0,488600.0,9900.0,2.0681011071652393
"Houston-Pasadena-The Woodlands, TX",6 Months,2025-02-01,2025-07-01,771300.0,768100.0,-3200.0,-0.4148839621418384
"Los Angeles-Long Beach-Anaheim, CA",6 Months,2025-02-01,2025-07-01,1476400.0,1472000.0,-4400.0,-0.2980222162015714
"Miami-Fort Lauderdale-West Palm Beach, FL",6 Months,2025-02-01,2025-07-01,790200.0,799000.0,8800.0,1.1136421159200203
"New York-Newark-Jersey City, NY-NJ",6 Months,2025-02-01,2025-07-01,2710600.0,2789500.0,78900.0,2.910794658009297
